group_ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Type of Sub project Enterprise,CROP PRODUCTION,FISHERY,LIVESTOCK,POULTRY,PROCESSING,MARKETING,RURAL INFRASTRUCTURE,FORESTRY,Total Cost of Sub Project,IDA Amount,Beneficiary Contribution,Total Amount Disbursed,Date of disbursement
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,642000,449400,192600,642000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cocoyam,n/a,n/a,n/a,n/a,n/a,n/a,n/a,870000,560000,310000,870000,15/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,500000,301000,199000,500000,15/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,500000,301000,199000,500000,15/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,460000,282000,178000,460000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,500000,314000,186000,500000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,others,n/a,n/a,n/a,n/a,n/a,n/a,n/a,802000,561400,240600,802000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,processing,n/a,n/a,n/a,n/a,cassava proces,n/a,n/a,n/a,1016000,711200,304800,1016000,15/07/2015
edo,n/a,n/a,uhunmwonde,n/a,crop productio,others,n/a,n/a,n/a,n/a,n/a,n/a,n/a,802000,561400,240600,802000,16/06/2015
edo,n/a,n/a,uhunmwonde,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,890000,591000,299000,890000,06/09/2016
bayelsa,yenegoa,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,25/10/2017
bayelsa,yenegoa,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,25/10/2017
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,890000,645000,245000,645000,02/10/2017
bayelsa,sagbama,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,926000,656000,270000,656000,02/10/2017
bayelsa,sagbama,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,926000,656000,270000,656000,02/10/2017
bayelsa,sagbama,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,926000,656000,270000,656000,02/10/2017
bayelsa,sagbama,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,926000,656000,270000,656000,02/10/2017
bayelsa,sagbama,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,926000,656000,270000,656000,02/10/2017
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,21/04/2015
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,21/04/2015
bayelsa,sagbama,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,22/04/2015
bayelsa,sagbama,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,22/04/2015
bayelsa,sagbama,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,22/04/2015
bayelsa,sagbama,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,3340000,3006000,334000,3006000,27/08/2015
bayelsa,sagbama,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,926000,656000,270000,656000,n/a
bayelsa,sagbama,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,926000,656000,270000,656000,n/a
bayelsa,sagbama,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,926000,656000,270000,656000,n/a
bayelsa,sagbama,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,926000,656000,270000,656000,n/a
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,926000,656000,270000,656000,n/a
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,25/10/2017
bayelsa,sagbama,n/a,n/a,n/a,livestock,n/a,n/a,goatry,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,04/12/2017
bayelsa,southern ijaw,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,841000,597500,243500,597500,18/06/2015
bayelsa,southern ijaw,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,12/01/2018
bayelsa,southern ijaw,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,16/01/2018
bayelsa,southern ijaw,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,3340000,3006000,334000,3006000,08/03/2016
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,29/09/2017
bayelsa,yenegoa,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,29/09/2017
bayelsa,yenegoa,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,29/09/2017
bayelsa,yenegoa,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,29/09/2017
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,16/06/2016
bayelsa,sagbama,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,728500,06/05/2015
bayelsa,sagbama,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,06/05/2015
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000000,710000,290000,710000,07/05/2015
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000000,710000,290000,710000,06/05/2015
bayelsa,sagbama,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,3340000,3006000,334000,3006000,13/10/2015
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,18/05/2016
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,16/06/2016
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,17/06/2016
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,17/06/2016
bayelsa,ikpoba okha,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,rural market,n/a,3300000,3000000,300000,3000000,10/11/2016
bayelsa,ikpoba okha,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,water scheme,n/a,3300000,3000000,300000,3000000,10/05/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,20/10/2016
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,20/10/2016
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,21/10/2016
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,20/10/2016
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,21/10/2016
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000000,710000,290000,710000,19/08/2014
bayelsa,sagbama,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,19/08/2014
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000000,710000,290000,710000,19/08/2014
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,19/08/2014
bayelsa,sagbama,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,19/08/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,29/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,29/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,29/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,29/03/2018
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,25/09/2017
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,25/09/2017
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,25/09/2017
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,25/09/2017
bayelsa,ikpoba okha,n/a,n/a,n/a,forestry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,snailery,990000,703000,287000,703000,08/12/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,forestry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,snailery,990000,703000,287000,703000,08/12/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,08/12/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,08/12/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,forestry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,snailery,1010000,717000,293000,717000,29/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,08/12/2014
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,25/09/2017
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,25/09/2017
bayelsa,owan west,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1015000,720500,294500,720500,25/09/2017
bayelsa,yenegoa,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,03/04/2017
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,03/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,03/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,03/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,03/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,03/04/2017
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,03/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,vegetable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,03/04/2017
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,03/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,vegetable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,03/04/2017
bayelsa,yenegoa,n/a,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,1014287,720000,294287,720000,21/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014287,720000,294287,720000,21/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1014287,720000,294287,720000,21/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014287,720000,294287,720000,21/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014287,720000,294287,720000,21/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014287,720000,294287,720000,21/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014287,720000,294287,720000,21/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014287,720000,294287,720000,21/04/2015
rivers,n/a,n/a,n/a,asari toru,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,2990000,2300000,690000,1150000,07/02/2019
rivers,n/a,n/a,n/a,ahoada west,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,2660000,1000000,660000,1000000,30/11/2017
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,31/10/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,31/10/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,31/10/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,22/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,7200000,22/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,22/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,22/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,22/03/2018
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014287,720000,294287,720000,21/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014287,720000,294287,720000,21/04/2015
bayelsa,yenegoa,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,cargo boat,n/a,3340000,3006000,334000,3006000,21/04/2015
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,14/03/2018
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,15/03/2018
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,15/03/2018
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,15/03/2018
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,14/03/2018
bayelsa,sagbama,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,water scheme,n/a,3300000,3000000,300000,3000000,19/09/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,05/05/2015
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,05/05/2015
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,07/05/2015
bayelsa,ikpoba okha,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,05/05/2015
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1010000,717000,293000,717000,07/05/2015
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,07/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,08/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,08/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,08/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,08/03/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,cargo boat,n/a,3340000,3006000,334000,3006000,11/06/2018
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,02/02/2018
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,02/02/2018
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,02/02/2018
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,02/02/2018
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,02/02/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,cargo boat,n/a,3300000,3000000,300000,3000000,21/03/2016
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,n/a
bayelsa,sagbama,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,19/06/2018
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,525000,347500,177500,347500,17/02/2015
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,525000,347500,177500,525000,17/02/2015
edo,n/a,n/a,ovia north eas,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,379000,265300,113700,379000,16/06/2015
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,525000,347500,177500,525000,17/02/2015
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,525000,347500,177500,525000,25/02/2015
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,525000,347500,177500,525000,17/02/2015
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,525000,347500,177500,525000,17/02/2015
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,525000,347500,177500,525000,17/02/2015
edo,n/a,n/a,ovia north eas,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,475000,312500,162500,475000,17/02/2015
edo,n/a,n/a,ovia north eas,n/a,poultry,n/a,n/a,n/a,broilers,n/a,n/a,n/a,n/a,834000,515800,318200,834000,17/02/2015
bayelsa,ikpoba okha,n/a,n/a,n/a,livestock,n/a,n/a,goatry,n/a,n/a,n/a,n/a,n/a,990000,703000,287000,703000,31/10/2014
bayelsa,ikpoba okha,n/a,n/a,n/a,livestock,n/a,n/a,piggery,n/a,n/a,n/a,n/a,n/a,990000,703000,287000,703000,31/10/2014
delta,n/a,burutu,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1657214.29,1159214.29,498000,1159214.29,22/02/2016
delta,n/a,burutu,n/a,n/a,fishery,n/a,capture fish,n/a,n/a,n/a,n/a,n/a,n/a,940800,940800,0,940800,07/11/2016
bayelsa,yenegoa,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,24/07/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,24/07/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,24/07/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,24/07/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,24/07/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,24/07/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,24/07/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,24/07/2017
bayelsa,owan east,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1120500,786350,334150,786350,18/04/2014
bayelsa,owan east,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1120500,786350,334150,786350,18/04/2014
bayelsa,owan east,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,960450,686000,274000,686000,18/04/2014
bayelsa,owan east,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,960000,686000,274000,686000,18/04/2014
bayelsa,owan east,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,910450,655315,255135,655315,18/04/2014
bayelsa,owan east,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,24/07/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,24/07/2017
bayelsa,owan east,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,3300000,3000000,300000,3000000,24/07/2017
bayelsa,owan east,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1120500,786350,334150,786350,18/04/2014
bayelsa,owan east,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1120500,786350,334150,786350,18/04/2014
bayelsa,owan east,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,960000,686000,274000,686000,18/04/2014
bayelsa,owan east,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,910450,655315,255135,655315,18/04/2014
bayelsa,owan east,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,960000,686000,274000,686000,18/04/2014
bayelsa,yenegoa,n/a,n/a,n/a,fishery,n/a,others,n/a,n/a,n/a,n/a,n/a,n/a,1014286,720000,294286,720000,25/10/2017
bayelsa,oredo,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,3334000,3000000,334000,3000000,27/10/2017
