group ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Description of Sub project Component,Location of Sub Project,Status of Project,Physical Output,Name of Contractor,Contractor Amount,Beneficiary Wages,calculation,Amount Disbursed Till Date,1st Picture of Site,,Number of Male Beneficiaries,Number of female Beneficiaries,Number of Beneficiaries Present on Site,Are there working ma ls for Beneficiaries,Are the PPEs adequate for Beneficiaries,Have Beneficiaries Received th,Reasons for no Payment,Percentage Level of Work Done
edo,n/a,n/a,akoko edo,n/a,ASPHALT OVERLAY,SECRETARIAT ROAD IGARRA,completed,ASPHALT DONE,SIBAFEK,5.62E+07,3.46E+07,9.07E+07,90725247,1570185493361.jpg,1570185514081.jpg,56,104,0,n/a,n/a,n/a,n/a,0
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,SWEEPING OF SURFACE TRAVELLED ROAD AND DESILTATION OF DRAINS,"ALONG PTI ROAD(FROM PTI JUNCTION. TO JAKPA JUNCTION AND OVIE PALACE LANE, UVWIE.",completed,12 MONTHS ACTIVITIES THAT WILL INVOLVE SWEEPING OF SURFACE TRAVELLED ROADS AND DESILTATION OF DRAINS,SOLOSMON D NIG. LTD,9065903.49,1.87E+07,2.78E+07,1.20E+07,1570013127948.jpg,1570013206592.jpg,33,42,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,eleme,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,akuku toru,"MAINTENANCE OF ABONNEMA CENTRAL/ OBONOMA ROAD, AKUKUTORU",AKUKUTORU RIVERS WEST,completed,100%,COASTAL ASSOCIATES LIMITED,2.46E+07,1.14E+07,3.60E+07,3.60E+07,1570450125737.jpg,1570450167768.jpg,35,16,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,tai,SAAKPEWA/BOTEM ROAD,BOTEM COMMUNITY ,completed,100&,LEBAMOND INTEGRATED LTD,1.31E+07,1.20E+07,25153154,2.52E+07,1570454673950.jpg,n/a,38,16,54,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,tai,MAINTENANCE OF KIRA ROAD,KIRA,completed,100,MARGOUY INTEGRATED SERVICES LTD,2.64E+07,1.36E+07,39978026,4.00E+07,n/a,1570455842854.jpg,52,22,74,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,tai,MAINTENANCE OF BANGOI POLICE COLLEGE ROAD/DRAINAGE ,NONWA-GBAM,completed,100,EMIM-UNYE SECURITY NETWORK LTD,2.68E+07,1.51E+07,41851714,4.19E+07,1570457447826.jpg,1570457503569.jpg,45,19,64,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,tai,MAINTENANCE OF BUNU TAI COMMUNITY ROAD ,BUNU COMMUNITY ,on going,60%,NSIDOR EXPRESS LTD ,2.08E+07,1.29E+07,33662675,1.18E+07,1570458263594.jpg,1570458552325.jpg,n/a,0,0,yes,yes,yes,n/a,60
rivers,n/a,n/a,n/a,tai,MAINTENANCE OF SIME-OUT ROAD,SIME COMMINITY,completed,100%,UP-SILVER PALM VENTURES ,2.12E+07,1.20E+07,33263155,3.33E+07,n/a,1570459564355.jpg,45,19,64,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,eleme,"CHERUBIM ROAD, FROM CHERUBIM ROAD - T-JUNCTION","AKPAJO, ELEME",on going,95%,CELLUCOM DIGITAL SERVICES,2.10E+07,1.49E+07,35840951,1.88E+07,n/a,1570461644560.jpg,0,0,0,yes,yes,yes,n/a,95
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,"MAINTENANCE OF NEW JERUSALEM STREET, ELIOZU",OBIO AKPOR,completed,"CUTTING OF FAILED SECTIONS, FILLING AND COMPACTION OF SHARP RIVER SAND & CONCRETING & ASPHALTING 1.5KM LENGTH ROAD",DEIFIC CARITAS LTD,2.74E+07,1.12E+07,3.86E+07,3.86E+07,1570464314414.jpg,1570464555401.jpg,35,15,50,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,n/a,MAINTENANCE OF BANGOI-POLICE ROAD/DRAINAGE,NONWA-GBAM,completed,100%,EMIM UNYE SECURITY NETWORK LIMITED,n/a,1.51E+07,n/a,41851714,n/a,n/a,45,19,64,yes,n/a,yes,n/a,100
rivers,n/a,n/a,n/a,n/a,MAINTENANCE OF CHERUBIM ROAD FROM CHURCH TO T-JUNCTION,"AKPAJO, ELEME",on going,95%,CELLUCOM DIGITAL SERVICES,n/a,1.49E+07,n/a,18804882,n/a,n/a,0,0,0,yes,n/a,yes,n/a,95
rivers,n/a,n/a,n/a,eleme,"MAINTENANCE OF CHERUBIM ROAD FROM CHERUBIM CHURCH TO T-JUNCTION, AKPAJO","AKPAJO ELEME, RIVERS SOUTH EAST SEN DISTRICT",on going,95%,CELLUCOM DIGITAL SERVICES,2.10E+07,1.49E+07,3.58E+07,1.88E+07,1570461740930.jpg,1570461759026.jpg,43,23,66,yes,yes,yes,n/a,95
rivers,n/a,n/a,n/a,port harcourt,"MAINTENANCE OF OROGBU STREET, RUMUKALAGBO, PORT HARCOURT.",PORT HARCOURT CITY,completed,"ASPHALT CUTTING, EXCAVATION, SAND FILLING, IRON WORK AND CONCRETING",CRISM CONSTRUCTION & BUILDING LTD.,2.25E+07,1.10E+07,3.35E+07,3.35E+07,1570452633558.jpg,1570453020603.jpg,33,14,47,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,LOT 4 (5400M) SWEEPING /CLEANING OF JAKPA ROAD FROM JUNCTION TO EKPAN ROUNDABOUT ,JAKPA RD FROM JUNCTION TO EKPAN ROUND ABOUT  (SECTION 1) UVWIE. ,completed,ROAD SWEEPING AND CLEANING,n/a,8187702.2,1.08E+07,1.90E+07,1.90E+07,1570014870773.jpg,1570014895956.jpg,4,41,0,yes,yes,yes,n/a,100
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,"MAINTENANCE OF CIRCULAR ROAD ,AMADI AMA",PORT HARCOURT CITY LGA,completed,"ASPHALT CUTTING, EXCAVATION, SAND FILLING, IRON WORK AND CONCRETING",U -MESS NIGERIA LTD,2.77E+07,1.21E+07,3.98E+07,3.98E+07,1570451342763.jpg,n/a,38,16,50,yes,yes,yes,n/a,10
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,owan west,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M CONCRETE ROAD IN OKOROBA TOWN ,OKOROBA ,completed,COMPLETED ,ELISUMI NIG SERVICES LTD ,6841719.88,7440000,1.43E+07,6841719.88,1570027861839.jpg,1570027888365.jpg,0,0,0,n/a,n/a,n/a,n/a,100
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili south,n/a,n/a,"SWEEPING OF SURFACE TRAVELLED, ROAD PATCHING OF POTHOLES, REPAIRS OF BROKEN DOWN KERBS, PAINTING OF KERBS AND VEGETATION CONTROL ALONG ILLAH ROAD DBS ROAD AND FINE HOME ROAD, ASABA",ASABA,completed,"SWEEPING,  PATCHING OF POTHOLES, REPAIR OF COLLAPSED KERBS AND PAINTING OF KERBS ",DE-MOOR GLOBAL,1.02E+07,1.73E+07,27522000,2.75E+07,1570093888125.jpg,1570093905645.jpg,22,50,72,yes,yes,yes,n/a,100
delta,n/a,oshimili south,n/a,n/a,VEGETATION CONTROL ALONG ASABA BENIN EXPRESSWAY SECTION 1(FROM DUMPSITE TO OKPANAM JUNCTION),ASABA,completed,VEGETATION CONTROL ,CHLEZ ENGINEERING SERVICES LIMITED,7838376.85,2.06E+07,2.85E+07,2.85E+07,1570097966918.jpg,1570097914822.jpg,35,55,90,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,port harcourt,"MAINTENANCE OF ANDONI STREET PHASE II FROM MAIN ROAD TO WATERSIDE, EAGLE ISLAND",PORT HARCOURT CITY,on going,"CLEARANCE, EXCAVATION, AND REINFORCED CONCRETE FILLING ",NICEN LIMITED,1.99E+07,1.42E+07,3.41E+07,3.41E+07,1570457220536.jpg,1570457241058.jpg,45,19,50,yes,yes,yes,n/a,95
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,INTERLOCKING OF ROADS,AKWUZU STREET OFF ALAJA AVENUE,completed,n/a,ATTAH VENTURES,2.62E+07,2.52E+07,5.14E+07,5.14E+07,1570028099933.jpg,1570028120019.jpg,28,72,0,yes,yes,n/a,n/a,100
delta,n/a,uvwie,n/a,n/a,SWEEPING OF ROAD,AIRPORT ROAD TO WATER BOARD FROM ENERHEN JUNCTION,completed,12 MONTHS,MAVIS GLOBAL CONSULT,2.48E+07,1.27E+07,3.75E+07,1.21E+07,1570102925448.jpg,1570103087615.jpg,7,46,2,yes,yes,n/a,n/a,100
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 150Mx6M CONCRETE ROAD WITH DRAIN,EPIE-ZARAMA,on going,0% ABOUT TO START,EMBEKS AND SONS COMPANY,1.37E+07,8640000,2.23E+07,0,1570536443208.jpg,1570536514837.jpg,20,15,32,yes,yes,AUTOMATIC,DOCUMENTATION ON GOING,0
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 300Mx3M CONCRETE ROAD,IKARAMA- OKORDIA,on going,0% ABOUT TO START,AREBIKON NIG. ENTERPRISES,7960207.5,8640000,1.66E+07,0,1570538183706.jpg,1570538282819.jpg,19,16,30,yes,yes,AUTOMATIC,DOCUMENTATION ON GOING,0
bayelsa,yenegoa,n/a,n/a,n/a,"CONSTRUCTION OF 100Mx6M OBUNGE/GLOBACOM ROAD IN OKORDIS (AGBOBIRI), YENAGOA",OKORDIA (AGBOBIRI),completed,COMPLETED,NYANASCO & SONS ENTERPRISE,6457237.5,9840000,1.63E+07,6457237.5,1570537077028.jpg,1570537148414.jpg,24,26,0,no,yes,yes,n/a,100
bayelsa,ikpoba okha,n/a,n/a,n/a,CONSTRUCTION OF 150Mx6M ANAM MARKET ROAD.,SAMPOU,on going,0% ABOUT TO START,DITAB GLOBAL ENTERPRISES,8717022.3,9840000,1.86E+07,0,1570541660950.jpg,1570541677889.jpg,18,22,16,yes,yes,AUTOMATIC,DOCUMENTATION ONGOING,0
bayelsa,ikpoba okha,n/a,n/a,n/a,CONSTRUCTION OF 200Mx6M CONCRETE ROAD,SAMPOU,completed,COMPLETED,JODARY GLOBAL SERVICES,7854281.27,8400000,1.63E+07,7854281.27,1570540861628.jpg,1570540879764.jpg,29,5,0,no,yes,yes,n/a,100
rivers,n/a,n/a,n/a,emohua,"MAINTENANCE OF AKPA RUMUESI ROAD, OGBAKIRI",EMOHUA,completed,REINFORCED CONCRETE PAVEMENT,EMAJOBI GLOBAL RESOURCES LTD,2.83E+07,1.49E+07,4.33E+07,4.33E+07,1570535758832.jpg,n/a,47,19,58,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,emohua,"MAINTENANCE OF AHIA MGBUOMODU ROAD, RUMUJI",EMOHUA,completed,"CLEARING, REMOVAL OF UNSUITABLE MATERIALS, FILLING AND COMPACTION OF SHARP RIVER SAND AND PATCHING",KHAN DOCKETTER EXPERTISE LTD,2.18E+07,1.42E+07,3.60E+07,3.60E+07,1570540794856.jpg,n/a,47,19,56,yes,yes,yes,n/a,100
delta,n/a,oshimili south,n/a,n/a,CONSTRUCTION OF DRAINAGE SYSTEM ON LIFE AND POWER CHRISTIAN ASSEMBLY ROAD OFF MARYAM BABAGIDA WAY AND CLEANING OF DIAFIAGOR STREET BESIDES NTA,ASABA,completed,"CONSTRUCTION OF DRAINS, SWEEPING",SWANSEA TOOL RESOURCES ,1.60E+07,7226921,2.32E+07,2.32E+07,1570095805264.jpg,1570095837047.jpg,19,38,57,yes,yes,yes,n/a,100
delta,n/a,sapele,n/a,n/a,(2750 METERS) SWEEPING/CLEANING OF SAPELE/WARRI ROAD,"SAPELE/WARRI ROAD FROM AJOGODO BY OKPE JUNCTION THROUGH MARKET ROAD TO CEMETERY ROAD JUNCTION, SAPELE",completed,ROAD SWEEPING AND CLEANING,MAKOFE COMPANY,7160366.13,7895373.87,15055740,1.51E+07,1570027799112.jpg,1570027869486.jpg,6,29,0,yes,yes,AUTOMATIC,n/a,100
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,khana,"MAINTENANCE OF BANK ROAD, BORI","BORI, RIVERS SOUTH EAST",completed,100%,SOLIDAGO NIGERIA LIMITED,1.97E+07,1.36E+07,33357201,3.34E+07,1570535824244.jpg,1570535899196.jpg,44,19,63,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,khana,"MAINTENANCE OF KWAWA-BANE ROAD, BANE","KHANA, RIVERS SOUTH EAST SENATORIAL DISTRICT",completed,100%,MADAI VENTURES,1.52E+07,1.25E+07,2.77E+07,2.77E+07,1570537321981.jpg,1570537938585.jpg,29,13,42,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,khana,MAINTENANCE OF POLY/ZAAKPON/MARKET/TAABAA ROAD,"BORI, RIVERS SOUTH EAST SENATORIAL DISTRICT",completed,100@,ABRIM NIGERIA LIMITED,2.26E+07,9456000,3.20E+07,3.20E+07,1570539730383.jpg,1570539914277.jpg,29,13,42,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,khana,"MAINTENANCE OF NDONAKE-MARKET ROAD, BORI","BORI, RIVERS SOUTH EAST SENATORIAL DISTRICT",on going,70%,REFOCA INTERNATIONAL LIMITED,1.78E+07,1.23E+07,30016550,2.00E+07,1570541194340.jpg,1570541368014.jpg,44,11,55,yes,yes,yes,n/a,70
rivers,n/a,n/a,n/a,emohua,MAINTENANCE OF ISIODU MGBUATOR ROAD PHASE II,EMOHUA,completed,REINFORCED CONCRETE PAVEMENT,AZEP INTEGRATED SERVICES,1.98E+07,1.36E+07,3.34E+07,3.34E+07,1570539085496.jpg,1570539103352.jpg,42,18,55,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,gokana,MAINTENANCE OF KPOPIE/DEKEN/KPITE ROAD,"GOKANA, RIVERS SOUTH EAST SENATORIAL DISTRICT",completed,100%,FRABISON RESOURCES LIMITED,2.27E+07,1.57E+07,3.85E+07,1.99E+07,1570542880065.jpg,1570543027413.jpg,36,16,52,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,eleme,"MAINTENANCE OF APOSTOLIC CHURCH ROAD, PHASE II, ALODE","ELEME, RIVERS SOUTH EAST SENATORIAL DISTRICT",on going,95%,SUNNY WILLIAMS INTERLINKS LIMITED,2.34E+07,1.37E+07,37064625,3.37E+07,1570544933759.jpg,1570545157247.jpg,37,24,61,yes,yes,yes,n/a,95
rivers,n/a,n/a,n/a,emohua,"MAINTENANCE OF RUMUORO OGBAKIRI WATERSIDE ROAD, PHASE II",EMOHUA,completed,REINFORCED CONCRETE PAVEMENT,HOME AT LAST ENGR & TECH LTD,2.34E+07,1.27E+07,36115644,3.61E+07,1570536732895.jpg,1570537243975.jpg,39,17,50,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,emohua,"MAINTENANCE OF RIMIEKIRI ROAD FROM PLAY GROUND ROAD TO BUSH, ODUOHI",EMOHUA,completed,CONCRETE REINFORCED PAVEMENT,NEMBOR GROUP ASSOCIATES,2.33E+07,1.37E+07,37009040,3.70E+07,1570535304810.jpg,n/a,44,19,57,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,emohua,"MAINTENANCE OF RUMUORO OGBAKIRI WATERSIDE ROAD, PHASE III",EMOHUA,completed,REINFORCED CONCRETE PAVEMENT,OWAN HOME & MORE NIG LTD,2.36E+07,1.32E+07,36882470,3.69E+07,1570537392405.jpg,n/a,42,17,50,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,port harcourt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,emohua,MGBUATOR/ISIODU LINK ROAD PHASE 1,EMOHUA TOWN,completed,"SITE CLEARANCE ,CUTTING OFF BAD SOIL, SAND FILLING, IRON WORK AND CONCRETING
.",RJF INTEGRATED LOGISTICS LTD,2.74E+07,1.50E+07,4.25E+07,4.25E+09,n/a,1570539434100.jpg,47,19,58,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,eleme,MAINTENANCE OF APOSTOLIC CHURCH ROAD PHASE 1,"ALODE ELEME, RIVERS SOUTH EAST SEN DISTRICT",on going,95%,SALOGURU NIGERIA LIMITED,1.88E+07,1.31E+07,31949108,2.93E+07,1570544653078.jpg,1570544724865.jpg,39,20,59,yes,yes,yes,n/a,95
rivers,n/a,n/a,n/a,emohua,RUMUORO OGBAKIRI WATERSIDE MARKET ROAD,"OGBAKIRI TOWN, EMOHUA LGA",completed,"SITE CLEARANCE, CUTTING OF  FAILED SECTION, SAND FILLING AND REINFORCED CONCRETING",BELMET INTERNATIONAL SERVICES LIMITED,2.93E+07,2.06E+07,4.99E+07,4.99E+07,n/a,1570536040397.jpg,59,25,76,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,port harcourt,"MAINTENANCE OF ELIKWU CRESCENT, RUMUKALAGBO PORT HARCOURT",PORT HARCOUT CITY,completed,SECTIONAL REHABILITATION OF FAILED ROAD SECTIONS USING REINFORCED CONCRETE,RIVERBROOK NIGERIA LIMITED,2.82E+07,1.57E+07,4.39E+07,4.39E+07,1570453978703.jpg,n/a,49,20,66,yes,yes,yes,n/a,100
